subject,topic,subtopic,skill_tags,difficulty,cognitive_level,answer_type,question_text,option_a,option_b,option_c,option_d,correct_answer,numerical_tolerance,solution,explanation,reference
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram Definitions and Operations,block-diagram;cascade-blocks;equivalent-gain,3,application,numerical_tolerance,Two blocks with gains 4 and 2.5 are connected in cascade. Find the equivalent gain.,,,,,10,0.001,Cascaded blocks multiply: $4\times2.5=10$.,Adding the gains (6.5) is the classic confusion with the parallel connection.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram Definitions and Operations,block-diagram;takeoff-point,4,comprehension,multiple_choice_single,What is the defining property of a takeoff point?,It adds two signals with signs,It changes a signal gain to unity,It sends identical copies of one signal to multiple paths,It closes a feedback loop,C,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram Definitions and Operations,block-diagram;equivalent-gain;parallel-blocks,4,application,numerical_tolerance,"Two blocks with gains 6 and $-2$ receive the same input, and their outputs are added at a summing point. Find the equivalent gain.",,,,,4,0.001,Parallel blocks add: $6+(-2)=4$.,"Multiplying the gains ($-12$) would describe a cascade, not a parallel path.",
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram Definitions and Operations,block-diagram;equivalence;moving-takeoff-point,5,analysis,numerical_tolerance,"A takeoff point is moved from after a block of gain 5 to before that block. To preserve the signal originally carried by the moved branch, a block must be inserted in that branch. Find the numerical gain of the inserted block.",,,,,5,0.001,"The branch previously carried $5x$ but now taps $x$, so a block of gain 5 must be inserted to restore $5x$.",Moving a takeoff point upstream requires inserting $G$; moving it downstream requires $1/G$.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram Definitions and Operations,block-diagram;moving-summing-point,6,application,multiple_choice_single,A summing point is moved from before a block $G(s)$ to after the block. How must an external signal entering that summing point be modified to preserve equivalence?,Divide it by $G(s)$,Multiply it by $G(s)$,Differentiate it,Change its sign only,B,,"When a summing point is located **before** a block $G(s)$, the external signal entering the summing point is not yet affected by $G(s)$. Moving the summing point **after** $G(s)$ means that the external signal now bypasses the block's action on the main path.

To preserve the overall transfer function, the external signal must be adjusted so that after it enters the system it produces the same effect as before. Since the main path signal is multiplied by $G(s)$ as it passes through the block, the external signal, which previously entered before that multiplication, must now be multiplied by $G(s)$ as well to match the equivalent contribution at the output junction.

Therefore, the external signal must be **multiplied by $G(s)$**.

The correct choice is **B. Multiply it by $G(s)$**.",,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram Definitions and Operations,block-diagram;moving-takeoff-point,8,analysis,multiple_choice_single,A takeoff point is moved from after a block $G(s)$ to before the block. What block must be inserted in the moved branch to preserve the original branch signal?,$1/G(s)$,$1+G(s)$,$-G(s)$,$G(s)$,D,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram Definitions and Operations,block-diagram;feedback-sign;interpretation,10,evaluation,multiple_choice_single,A feedback signal enters a summing junction with a plus sign instead of a minus sign. What is the most important consequence?,The loop becomes positive feedback and can reduce stability,The loop gain becomes identically zero,The plant order is reduced by one,The output becomes independent of the reference,A,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram to Transfer Function,block-diagram;loop-gain;terminology,1,recall,text_short,"For a single negative-feedback loop with forward path $G(s)$ and feedback path $H(s)$, what name is given to the product $G(s)H(s)$?",,,,,loop gain|open loop gain|open-loop gain|loop transfer function|open-loop transfer function,,$G(s)H(s)$ is the gain around the loop and appears in the closed-loop denominator $1+GH$.,"Setting $1+GH=0$ gives the characteristic equation, so the loop gain determines stability.",
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram to Transfer Function,block-diagram;cascade-blocks,2,application,numerical_tolerance,Two blocks with gains 2 and 3 are connected in cascade. Find the equivalent gain.,,,,,6,0,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram to Transfer Function,block-diagram;closed-loop-gain;negative-feedback,2,application,numerical_tolerance,A negative-feedback loop has constant gains $G=10$ and $H=1$. Find the closed-loop gain $C/R$.,,,,,0.909090909,1%,$C/R=G/(1+GH)=10/(1+10)=0.9091$.,"The closed-loop gain is slightly below 1, showing the accuracy limit of finite loop gain.",
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram to Transfer Function,block-diagram;feedback-gain;negative-feedback,3,application,numerical_tolerance,A negative-feedback loop has constant gains $G=20$ and $H=0.25$. Find the closed-loop gain $C/R$.,,,,,3.333333333,1%,$C/R=20/(1+20\times0.25)=20/6=3.3333$.,"For large $GH$ the closed-loop gain tends to $1/H=4$, and 3.33 is approaching that limit.",
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram to Transfer Function,block-diagram;parallel-blocks,4,application,multiple_choice_single,Two forward-path blocks $G_1$ and $G_2$ receive the same input and their outputs are added. What is the equivalent block?,$G_1G_2$,$G_1/(1+G_2)$,$G_1+G_2$,$G_1-G_2$,C,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram to Transfer Function,block-diagram;inner-loop;reduction,4,analysis,numerical_tolerance,A forward path contains $G_1=4$ followed by $G_2=5$. A negative feedback path $H=0.2$ surrounds only $G_2$. Find the equivalent gain from the input of $G_1$ to the output.,,,,,10,0.001,Reduce the inner loop first: $G_2'=5/(1+5\times0.2)=2.5$. Then cascade: $4\times2.5=10$.,Inner loops must be collapsed before the outer cascade is multiplied out.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram to Transfer Function,block-diagram;closed-loop-gain;positive-feedback,5,analysis,numerical_tolerance,"A loop has constant gains $G=8$ and $H=0.1$, with the feedback signal entering the summing junction with a positive sign. Find the closed-loop gain $C/R$.",,,,,40,0.001,For positive feedback $C/R=G/(1-GH)=8/(1-0.8)=8/0.2=40$.,"Positive feedback amplifies the gain and drives it to infinity as $GH\to1$, unlike negative feedback.",
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram to Transfer Function,block-diagram;closed-loop-transfer;negative-feedback,6,application,multiple_choice_single,"For a negative-feedback loop with $G(s)=10/(s+2)$ and $H(s)=1$, what is $C(s)/R(s)$?",$10/(s+2)$,$10/(s+12)$,$10/(s-8)$,$(s+2)/(s+12)$,B,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram to Transfer Function,block-diagram;inner-loop;reduction,8,analysis,numerical_tolerance,A forward path contains $G_1=2$ followed by $G_2=3$. A negative inner feedback loop with $H=0.5$ surrounds only $G_2$. Find the equivalent forward gain from the input of $G_1$ to the output.,,,,,2.4,1%,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Block Diagram to Transfer Function,block-diagram;multiple-feedback-loops;reduction,10,analysis,numerical_tolerance,"A system has forward blocks $G_1=2$ and $G_2=4$ in cascade. A negative feedback $H_1=0.5$ surrounds $G_2$, and a negative feedback $H_2=0.25$ surrounds the entire cascade. Find the closed-loop gain.",,,,,1.6,1%,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph Definitions,node;signal-flow-graph;terminology,1,recall,text_short,"In a signal flow graph, what name is given to the point that represents a system variable?",,,,,node|a node|nodes,,Each node stands for one signal or variable; branches carry weighted contributions between nodes.,The value at a node is the sum of all incoming branch contributions.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph Definitions,node;signal-flow-graph,2,recall,multiple_choice_single,"In a signal flow graph, what does a node represent?",Only a physical component,The product of all loop gains,A transfer-function denominator,A system variable or signal,D,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph Definitions,classification;signal-flow-graph;source-node,2,comprehension,text_short,What name is given to a node that has only outgoing branches?,,,,,source node|source|input node|input|source (input) node,,A node with outgoing branches only is a source (input) node; one with only incoming branches is a sink (output) node.,"Sources correspond to independent inputs, which is why nothing feeds into them.",
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph Definitions,loop-gain;product;signal-flow-graph,3,application,numerical_tolerance,"A loop in a signal flow graph is formed by branches with gains 4, $-0.25$, and 6. Find the loop gain.",,,,,-6,0.001,The loop gain is the product of its branch gains: $4\times(-0.25)\times6=-6$.,"Loop gains multiply, so a single negative branch makes the whole loop gain negative.",
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph Definitions,branch-gain;signal-flow-graph,4,comprehension,multiple_choice_single,A directed branch from node $x_1$ to node $x_2$ has transmittance $a$. What contribution does this branch make to $x_2$?,$ax_1$,$x_1/a$,$a+x_1$,$x_1-a$,A,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph Definitions,determinant;non-touching-loops;signal-flow-graph,4,analysis,numerical_tolerance,"A signal flow graph has three loops with gains $L_1=-0.5$, $L_2=-0.4$, and $L_3=-0.2$. Loops $L_1$ and $L_3$ are non-touching; every other pair of loops touches. Compute the graph determinant $\Delta$.",,,,,2.2,1%,$\Delta=1-\sum L_i+\sum(\text{non-touching pairs})=1-(-1.1)+(-0.5)(-0.2)=1+1.1+0.1=2.2$.,Only the single non-touching pair contributes a second-order term; touching pairs are excluded.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph Definitions,definition;non-touching-loops;signal-flow-graph,5,analysis,text_short,Two loops in a signal flow graph share no common node. What term describes them?,,,,,non-touching|non-touching loops|nontouching|nontouching loops|non touching loops,,"Loops with no node in common are non-touching, and their gain products appear in the higher-order terms of $\Delta$.","Sharing even one node makes loops touching, so their product is omitted from $\Delta$.",
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph Definitions,forward-path;signal-flow-graph,6,application,multiple_choice_single,Which description defines a forward path?,Any closed path that begins and ends at the same node,A path containing only unity-gain branches,A path from input to output that does not pass through any node more than once,A pair of loops sharing no nodes,C,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph Definitions,loop;loop-gain;signal-flow-graph,8,analysis,multiple_choice_single,"A loop contains branch gains $2$, $-0.5$, and $3$. What is the loop gain?",$3$,$-3$,$4.5$,$-0.5$,B,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph Definitions,non-touching-loops;signal-flow-graph,10,analysis,multiple_choice_single,When are two loops classified as non-touching?,When their gains have opposite signs,When they have equal gains,When they both touch the forward path,When they share no node,D,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Mason's Gain Rule,determinant;mason-gain-formula;terminology,1,recall,text_short,"In Mason's gain formula, what name is given to the quantity $\Delta$?",,,,,determinant|graph determinant|delta|the graph determinant|signal flow graph determinant,,"$\Delta$ is the graph determinant, $1-\sum L_i+\sum L_iL_j-\dots$, and forms the denominator of the overall gain.",It plays the role of $1+GH$ in ordinary block-diagram reduction.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Mason's Gain Rule,delta;mason-gain-formula,2,recall,multiple_choice_single,"In Mason\'s gain formula, what is the first term of $\Delta$?",$1$,The sum of forward-path gains,The product of all branch gains,$-1$,A,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Mason's Gain Rule,mason-gain-formula;overall-gain;single-loop,2,application,numerical_tolerance,A signal flow graph has one forward path of gain 6 and a single loop of gain $-0.2$ that touches the path. Find the overall transfer gain.,,,,,5,0.001,"$\Delta=1-(-0.2)=1.2$, and $\Delta_1=1$ since the loop touches the path, so $T=6/1.2=5$.","Because the loop touches the path, its gain is removed from the path cofactor $\Delta_1$.",
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Mason's Gain Rule,definition;mason-gain-formula;path-cofactor,3,comprehension,text_short,"In Mason's gain formula, what name is given to the quantity obtained from $\Delta$ by deleting all terms involving loops that touch the $k$-th forward path?",,,,,path cofactor|cofactor|delta k|path factor|cofactor of the path,,$\Delta_k$ is the path cofactor: it is $\Delta$ evaluated for the subgraph of loops that do not touch path $k$.,If every loop touches the path then $\Delta_k=1$.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Mason's Gain Rule,mason-gain-formula;single-loop,4,application,multiple_choice_single,A graph has one forward path of gain $P=4$ and one loop of gain $L=-0.5$ touching the path. What is the overall gain?,$4/(1+L)=8$,$4(1-L)=6$,$4/(1-L)=8/3$,$P+L=3.5$,C,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Mason's Gain Rule,mason-gain-formula;non-touching-loops;overall-gain,4,analysis,numerical_tolerance,"A signal flow graph has one forward path of gain 10. It has two loops of gains $-0.5$ and $-0.25$ that are non-touching with each other, and both touch the forward path. Find the overall transfer gain.",,,,,5.333333333,1%,$\Delta=1-(-0.5-0.25)+(-0.5)(-0.25)=1+0.75+0.125=1.875$; $\Delta_1=1$. Hence $T=10/1.875=5.3333$.,"The non-touching pair adds the $+0.125$ term, which ignoring it would wrongly give $T=5.714$.",
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Mason's Gain Rule,cofactors;mason-gain-formula;multiple-paths,5,analysis,numerical_tolerance,A signal flow graph has two forward paths with gains $P_1=4$ and $P_2=6$. A single loop of gain $-0.5$ touches $P_1$ but does not touch $P_2$. Find the overall transfer gain.,,,,,8.666666667,1%,$\Delta=1-(-0.5)=1.5$. $\Delta_1=1$ (loop touches $P_1$) and $\Delta_2=1.5$ (loop does not touch $P_2$). Then $T=(4\cdot1+6\cdot1.5)/1.5=13/1.5=8.6667$.,Each path carries its own cofactor; using $\Delta_2=1$ for both paths is the usual mistake.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Mason's Gain Rule,delta;mason-gain-formula;non-touching-loops,6,application,multiple_choice_single,A graph has two non-touching loops with gains $L_1=-0.2$ and $L_2=-0.3$. What is $\Delta$?,$1.50$,$1.56$,$0.56$,$0.44$,B,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Mason's Gain Rule,mason-gain-formula;path-cofactor,8,analysis,numerical_tolerance,"A signal flow graph has one forward path with gain 6. It has two non-touching loops of gains -0.2 and -0.3, and both loops touch the forward path. Find the overall transfer gain.",,,,,3.846153846,1%,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Mason's Gain Rule,cofactors;mason-gain-formula;multiple-paths,10,analysis,multiple_choice_single,A graph has forward paths $P_1=2$ and $P_2=3$. A loop of gain $L=-0.5$ touches $P_1$ but does not touch $P_2$. What is the overall gain?,$(2(1.5)+3)/1.5$,$(2+3)/0.5$,$(2-3)/1.5$,$(2+3(1.5))/1.5$,D,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph to Transfer Function,signal-flow-graph;single-loop;transfer-gain,1,application,numerical_tolerance,A signal flow graph has a forward path of gain 12 and one feedback loop of gain $-0.2$ touching that path. Find the overall transfer gain.,,,,,10,0.001,$T=P/\Delta=12/[1-(-0.2)]=12/1.2=10$.,This is the signal-flow-graph version of $G/(1+GH)$.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph to Transfer Function,signal-flow-graph;system-equations,2,comprehension,multiple_choice_single,"For the equation $x_2=3x_1-0.5x_2$, which branches enter node $x_2$?",$x_1\to x_2$ with gain 3 and $x_2\to x_2$ with gain $-0.5$,$x_2\to x_1$ with gain 3 only,$x_1\to x_2$ with gain $-0.5$ only,$x_1\to x_2$ with gain 2.5,A,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph to Transfer Function,parallel-forward-paths;signal-flow-graph,2,application,numerical_tolerance,"A signal flow graph has two forward paths from input to output with gains 3 and $-0.5$, and no loops. Find the overall transfer gain.",,,,,2.5,1%,"With no loops $\Delta=\Delta_1=\Delta_2=1$, so $T=3+(-0.5)=2.5$.",Forward paths add; only loops introduce a denominator.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph to Transfer Function,self-loop;signal-flow-graph;system-equations,3,application,text_short,"A system equation is $x_3=4x_2-0.5x_3$. In the corresponding signal flow graph, what is the gain of the self-loop at node $x_3$?",,,,,-0.5|-1/2|minus 0.5|-.5,,"The term $-0.5x_3$ on the right-hand side is a branch from $x_3$ back to itself, so the self-loop gain is $-0.5$.",Dropping the sign is the common error; the self-loop is what generates the $1+0.5$ denominator.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph to Transfer Function,signal-flow-graph;single-feedback-loop,4,application,numerical_tolerance,A signal flow graph has a forward path gain of 5 and a feedback loop gain of -0.25. Find the overall transfer gain.,,,,,4,0.02,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph to Transfer Function,dc-gain;dynamic-loop;signal-flow-graph,4,analysis,numerical_tolerance,A signal flow graph represents a single negative-feedback loop with forward branch $G(s)=5/(s+1)$ and feedback branch $H=2$. Find the DC gain of the overall transfer function.,,,,,0.454545455,1%,$T(s)=G/(1+GH)=[5/(s+1)]/[1+10/(s+1)]=5/(s+11)$. At $s=0$: $5/11=0.4545$.,Clearing the denominator before setting $s=0$ avoids mishandling the nested fraction.,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph to Transfer Function,cofactors;mason;multiple-paths;signal-flow-graph,5,analysis,numerical_tolerance,"A signal flow graph has forward paths $P_1=5$ and $P_2=2$. Loop $L_1=-0.4$ touches both paths, and loop $L_2=-0.5$ touches only $P_1$. The two loops touch each other. Find the overall transfer gain.",,,,,4.210526316,1%,"$\Delta=1-(-0.4-0.5)=1.9$ (no non-touching pair). $\Delta_1=1$; for $P_2$ only $L_2$ is non-touching, so $\Delta_2=1-(-0.5)=1.5$. Then $T=(5+3)/1.9=8/1.9=4.2105$.","Because the loops touch each other, $\Delta$ has no second-order term even though $L_2$ misses $P_2$.",
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph to Transfer Function,parallel-forward-paths;signal-flow-graph,6,application,multiple_choice_single,"Two noninteracting forward paths from input to output have gains $2$ and $-0.5$, with no loops. What is the total transfer gain?",$-1$,$-0.5$,$1.5$,$2.5$,C,,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph to Transfer Function,mason;multiple-loops;signal-flow-graph,8,analysis,numerical_tolerance,"A graph has one forward path of gain 8 and two touching loops with gains -0.2 and -0.3. The loops touch each other, so they are not non-touching. Both touch the forward path. Find the overall transfer gain.",,,,,5.333333333,1%,,,
Feedback and Control Systems,Block Diagram and Signal Flow Graph,Signal Flow Graph to Transfer Function,multiple-paths;path-cofactor;signal-flow-graph,10,analysis,numerical_tolerance,A graph has forward paths $P_1=2$ and $P_2=3$. A loop with gain -0.5 touches $P_1$ but not $P_2$. Find the overall transfer gain using Mason's gain formula.,,,,,4.333333333,1%,,,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of First Order Systems,first-order-system;terminology;time-constant,1,recall,text_short,"For $G(s)=K/(\tau s+1)$, what is the parameter $\tau$ called?",,,,,time constant|the time constant|time-constant,,$\tau$ is the time constant; the pole lies at $s=-1/\tau$ and sets the speed of the exponential response.,$K$ fixes the final value while $\tau$ fixes how quickly that value is reached.,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of First Order Systems,first-order-system;time-constant,2,recall,multiple_choice_single,"For $G(s)=K/(\tau s+1)$, what parameter determines the response speed?",Steady-state gain $K$ only,Time constant $\tau$,Input amplitude only,Number of zeros,B,,,,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of First Order Systems,first-order-system;step-response;time-constant,2,application,numerical_tolerance,A first-order system has unit-step response $c(t)=5(1-e^{-t/0.4})$. Find its time constant in seconds.,,,,,0.4,1%,Comparing with $c(t)=K(1-e^{-t/\tau})$ gives $\tau=0.4$ s (and $K=5$).,The exponent's denominator is the time constant; the amplitude 5 is unrelated to it.,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of First Order Systems,dc-gain;first-order-system;standard-form,3,application,numerical_tolerance,A first-order system has $G(s)=10/(2s+5)$. Find its DC gain.,,,,,2,0.001,"$G(0)=10/5=2$. In standard form $G(s)=2/(0.4s+1)$, showing $K=2$ and $\tau=0.4$ s.",Normalising the constant term to 1 separates the gain from the time constant.,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of First Order Systems,first-order-system;step-response;time-constant,4,application,numerical_tolerance,A first-order system has unit-step response $c(t)=1-e^{-t/2}$. Find its time constant in seconds.,,,,,2,0.01,,,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of First Order Systems,first-order-system;rise-time;ten-to-ninety,4,application,numerical_tolerance,"A first-order system has a time constant of $0.5$ s. Using the 10%-to-90% definition, estimate its rise time in seconds.",,,,,1.1,1%,For a first-order step response $T_r=\tau\ln 9\approx2.2\tau=2.2\times0.5=1.1$ s.,"The 10-90% rise time is about $2.2\tau$, whereas the 2% settling time is about $4\tau$.",
Feedback and Control Systems,Time Response Analysis,Transient Analysis of First Order Systems,first-order-system;parameter-identification;step-response,5,analysis,numerical_tolerance,A first-order system with unity DC gain reaches $0.9$ of its final value at $t=1.5$ s in response to a unit step. Estimate the time constant in seconds.,,,,,0.651441723,0.01,"$1-e^{-1.5/\tau}=0.9\Rightarrow e^{-1.5/\tau}=0.1\Rightarrow 1.5/\tau=\ln10$, so $\tau=1.5/2.3026\approx0.6515$ s.",Identification runs the step-response formula backwards; a natural log is unavoidable here.,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of First Order Systems,63-percent;first-order-system;step-response,6,comprehension,multiple_choice_single,"At $t=\tau$, a first-order unit-step response has reached approximately what percentage of its final value?",36.8%,50.0%,86.5%,63.2%,D,,,,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of First Order Systems,first-order-system;settling-time;two-percent,8,application,numerical_tolerance,"A first-order system has time constant $0.75$ s. Using the 2% criterion, estimate the settling time in seconds.",,,,,3,0.015,,,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of First Order Systems,first-order-system;parameter-identification;step-response,10,analysis,numerical_tolerance,A first-order system subjected to a unit step reaches $0.8$ at $t=2$ s and has final value 1. Estimate the time constant in seconds.,,,,,1.242669869,1%,,,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of Second Order Systems,damping-ratio;second-order-system;terminology,1,recall,text_short,"In the standard second-order denominator $s^2+2\zeta\omega_n s+\omega_n^2$, what is $\zeta$ called?",,,,,damping ratio|the damping ratio|damping factor|damping-ratio,,$\zeta$ is the dimensionless damping ratio; $\omega_n$ is the undamped natural frequency.,"The value of $\zeta$ alone decides whether the response is under-, critically, or overdamped.",
Feedback and Control Systems,Time Response Analysis,Transient Analysis of Second Order Systems,second-order-system;standard-form,2,recall,multiple_choice_single,Which denominator is the standard second-order form?,$s^2+2\zeta\omega_n s+\omega_n^2$,$s^2+\zeta s+\omega_n$,$s+2\zeta\omega_n$,$s^2+\omega_n s+2\zeta$,A,,,,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of Second Order Systems,damping-classification;second-order-system,2,comprehension,text_short,How is a second-order system classified when its damping ratio satisfies $\zeta>1$?,,,,,overdamped|over damped|over-damped,,"For $\zeta>1$ the two poles are real, distinct, and negative, giving a non-oscillatory response.",$\zeta=1$ is critically damped and $0<\zeta<1$ is underdamped.,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of Second Order Systems,coefficient-matching;natural-frequency;second-order-system,3,application,numerical_tolerance,A second-order system has denominator $s^2+10s+16$. Find the undamped natural frequency $\omega_n$ in rad/s.,,,,,4,0.001,"$\omega_n^2=16$, so $\omega_n=4$ rad/s.",The constant term gives $\omega_n^2$ directly; the middle coefficient is not needed here.,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of Second Order Systems,damping-classification;second-order-system,4,comprehension,multiple_choice_single,How is a second-order system classified when $\zeta=1$?,Underdamped,Overdamped,Critically damped,Undamped,C,,,,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of Second Order Systems,coefficient-matching;damping-ratio;second-order-system,4,application,numerical_tolerance,A second-order system has denominator $s^2+10s+16$. Find the damping ratio $\zeta$.,,,,,1.25,1%,"$2\zeta\omega_n=10$ with $\omega_n=4$, so $\zeta=10/8=1.25$.","Since $\zeta>1$ this system is overdamped, consistent with the real roots $-2$ and $-8$.",
Feedback and Control Systems,Time Response Analysis,Transient Analysis of Second Order Systems,damping;identification;poles;second-order-system,5,analysis,numerical_tolerance,A second-order system has poles at $-4\pm j3$. Find its damping ratio $\zeta$.,,,,,0.8,1%,"$\omega_n=\sqrt{4^2+3^2}=5$ rad/s and the real part is $-\zeta\omega_n=-4$, so $\zeta=4/5=0.8$.",$\omega_n$ is the distance of the pole from the origin and $\zeta$ is the cosine of its angle from the negative real axis.,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of Second Order Systems,coefficient-matching;natural-frequency;second-order-system,6,application,numerical_tolerance,"For a denominator $s^2+6s+25$, find the undamped natural frequency $\omega_n$ in rad/s.",,,,,5,0.025,,,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of Second Order Systems,coefficient-matching;damping-ratio;second-order-system,8,application,numerical_tolerance,"For a denominator $s^2+6s+25$, find the damping ratio $\zeta$.",,,,,0.6,1%,,,
Feedback and Control Systems,Time Response Analysis,Transient Analysis of Second Order Systems,damping;poles;response;second-order-system,10,analysis,multiple_choice_single,"A system has poles at $-3\pm j4$. Which pair $(\omega_n,\zeta)$ is correct?","$(4,0.75)$","$(5,0.6)$","$(3,0.8)$","$(7,3/7)$",B,,,,
Feedback and Control Systems,Time Response Analysis,Transient Parameters of Second Order Underdamped Systems,peak-time;second-order-system;terminology,1,recall,text_short,What name is given to the time at which an underdamped step response first reaches its maximum value?,,,,,peak time|the peak time|time to peak|peak-time|Tp,,"The peak time is $T_p=\pi/\omega_d$, where $\omega_d=\omega_n\sqrt{1-\zeta^2}$ is the damped natural frequency.","It depends only on the damped frequency, not on the input amplitude.",
Feedback and Control Systems,Time Response Analysis,Transient Parameters of Second Order Underdamped Systems,damped-frequency;peak-time;second-order-system,2,recall,multiple_choice_single,"For an underdamped second-order system, which expression gives the peak time?",$T_p=4/(\zeta\omega_n)$,$T_p=1/\omega_n$,$T_p=2\pi/\omega_n$,$T_p=\pi/\omega_d$,D,,,,
Feedback and Control Systems,Time Response Analysis,Transient Parameters of Second Order Underdamped Systems,second-order-system;settling-time;two-percent,2,application,numerical_tolerance,"An underdamped system has $\zeta=0.5$ and $\omega_n=10$ rad/s. Using the 2% criterion, estimate the settling time in seconds.",,,,,0.8,0.01,$T_s\approx4/(\zeta\omega_n)=4/5=0.8$ s.,"Only the real part $\zeta\omega_n$ matters, since it sets the envelope decay rate.",
Feedback and Control Systems,Time Response Analysis,Transient Parameters of Second Order Underdamped Systems,damped-frequency;peak-time;second-order-system,3,application,numerical_tolerance,An underdamped system has $\zeta=0.6$ and $\omega_n=10$ rad/s. Find the peak time in seconds.,,,,,0.392699082,0.01,"$\omega_d=10\sqrt{1-0.36}=8$ rad/s, so $T_p=\pi/8\approx0.3927$ s.",Using $\omega_n$ instead of $\omega_d$ would wrongly give $0.3142$ s.,
Feedback and Control Systems,Time Response Analysis,Transient Parameters of Second Order Underdamped Systems,second-order-system;settling-time;two-percent,4,application,numerical_tolerance,"A system has $\zeta=0.5$ and $\omega_n=8$ rad/s. Using the 2% criterion, estimate the settling time in seconds.",,,,,1,0.01,,,
Feedback and Control Systems,Time Response Analysis,Transient Parameters of Second Order Underdamped Systems,percent-overshoot;second-order-system,4,application,numerical_tolerance,"For an underdamped second-order system with $\zeta=0.4$, calculate the percent overshoot of the unit-step response.",,,,,25.382672198,1%,$\%OS=100e^{-\pi\zeta/\sqrt{1-\zeta^2}}=100e^{-1.2566/0.9165}=100e^{-1.3710}\approx25.38\%$.,Overshoot depends on $\zeta$ alone; $\omega_n$ changes the timing but not the peak height.,
